category,subcategory,name,current_price,raw_price,discount,likes_count,is_new,codcountry,variation_0_color,variation_1_color,id,model
accessories,Hats & Caps,protective insulation face masks masks anti-fog splash,9.99,16.99,41,373,FALSE,"ID,MY,PH,SG,TH,VN",Gray,Blue,1671872,SKUF08305
accessories,baseball Caps,baseball cap umbrella hat washed denim outdoor custom border,9.99,18.99,47,73,FALSE,"ID,MY,PH,SG,TH,VN",Navy,Black,1674377,SKUF11351
accessories,Flat Caps,Newsboy Cap Cabbie Flat Hat Vintage Lvy Painter Beret Hats,17.49,37.34,53,140,FALSE,"ID,MY,PH,SG,TH,VN",Black,camel,1637790,SKUE50978
accessories,Earmuffs & Masks,Mask flowers cotton multicolored vintage Mask,5.99,16.01,63,686,FALSE,"ID,MY,PH,SG,TH,VN",#01,#02,1654953,SKUE76490
accessories,Hats & Caps,outdoor fishing hat for men,13.99,26.99,48,35,FALSE,"ID,MY,PH,SG,TH,VN",Black,Army Green,1666600,SKUE75375
accessories,Beanie Hat,Women Floral Print Campaign Twist Beanie Cap Cap Turban chemotherapy,9.99,18.99,47,91,FALSE,"ID,MY,PH,SG,TH,VN",Leopard,Green,1690702,SKUF28537
accessories,Earmuffs,Sheild floral Face Mask Cotton Vintage,5.99,11.99,50,147,FALSE,"ID,MY,PH,SG,TH,VN",,,1668210,SKUE94427
accessories,Hats & Caps,Bonnet embroidered cotton men's hat before Sun Hat British retro literary Beret,12.99,23.99,46,46,FALSE,"ID,MY,PH,SG,TH,VN",Black,Navy,1674357,SKUF04432
accessories,Flat Caps,Cap octagonal summer newsboy Lvy Cabbie Flat Hat,20.49,42.47,52,121,FALSE,"ID,MY,PH,SG,TH,VN",Black,Grey,1637791,SKUE50991
accessories,Skull Caps,Skull caps plaid men without matching edge,12.99,25.99,50,71,FALSE,"ID,MY,PH,SG,TH,VN",Yellow,,1690229,SKUF19523
accessories,Belts & Suspenders,Leather belt men's casual waist belt strap belt smooth retro brooch,32.99,64.99,49,35,FALSE,"ID,MY,PH,SG,TH,VN",Black,Coffee,1682316,SKUF26232
accessories,Earmuffs,facemask adjustable breathable muslin,4.99,9.99,50,110,FALSE,"ID,MY,PH,SG,TH,VN",,,1676041,SKUF09796
accessories,Earmuffs & Masks,face mask unisex breathable solid color,4.99,9.99,50,98,FALSE,"ID,MY,PH,SG,TH,VN",Black,Gray,1676042,SKUF09707
accessories,Beanie Hat,Retro Elephant Beanie Hat Cap Turban chemotherapy,10.99,22.99,52,108,FALSE,"ID,MY,PH,SG,TH,VN",Black,Blue,1669588,SKUE92909
accessories,Earmuffs,Dust Mask floral face Sheild,5.99,11.99,50,106,FALSE,"ID,MY,PH,SG,TH,VN",,,1668209,SKUE94426
accessories,Hats & Caps,elastic elastic solid color hat hat hat hat with ear buttons,6.99,13.99,50,85,FALSE,"ID,MY,PH,SG,TH,VN",Red,Beige,1686029,SKUF28443
accessories,Beanie Hat,Beanie Hats Flowers Cut Outs,10.99,22.99,52,63,FALSE,"ID,MY,PH,SG,TH,VN",Khaki,Black,1694979,SKUF33483
