category,subcategory,name,price,manufacturer,uniq_id
Hobbies,Model Trains & Railway Sets,Hornby 2014 Catalogue,£3.42,Hornby,eac7efa5dbd3d667f26eb3d3ab504464
Hobbies,Model Trains & Railway Sets,FunkyBuys® Large Christmas Holiday Express Festive Train Set (SI-TY1017) Toy Light / Sounds / Battery Operated & Smoke,£16.99,FunkyBuys,b17540ef7e86e461d37f3ae58b7b72ac
Hobbies,Model Trains & Railway Sets,CLASSIC TOY TRAIN SET TRACK CARRIAGES LIGHT ENGINE BOXED BOYS KIDS BATTERY,£9.99,ccf,348f344247b0c1a935b1223072ef9d8a
Hobbies,Model Trains & Railway Sets,HORNBY Coach R4410A BR Hawksworth Corridor 3rd,£39.99,Hornby,e12b92dbb8eaee78b22965d2a9bbbd9f
Hobbies,Model Trains & Railway Sets,Hornby 00 Gauge 0-4-0 Gildenlow Salt Co. Steam Locomotive Model,£32.19,Hornby,e33a9adeed5f36840ccc227db4682a36
Hobbies,Model Trains & Railway Sets,20pcs Model Garden Light Double Heads Lamppost Scale 1:100,£6.99,Generic,cb34f0a84102c1ebc3ef6892d7444d36
Hobbies,Model Trains & Railway Sets,Hornby 00 Gauge 230mm BR Bogie Passenger Brake Coach Model (Red),£24.99,Hornby,f74b562470571dfb689324adf236f82c
Hobbies,Model Trains & Railway Sets,Hornby Santa's Express Train Set,£69.93,Hornby,87bbb472ef9d90dcef140a551665c929
Hobbies,Model Trains & Railway Sets,Hornby Gauge Western Express Digital Train Set with eLink and TTS Loco Train Set,£235.58,Hornby,7e2aa2b4596a39ba852449718413d7cc
Hobbies,Model Trains & Railway Sets,Learning Curve Chuggington Interactive Chatsworth,,Chuggington,5afbaf65680c9f378af5b3a3ae22427e
Hobbies,Model Trains & Railway Sets,Hornby Gauge Railroad Mosley Tarmacadam Locomotive,£27.49,Hornby,5c76389a8c302c6d7d6e179393031b97
Hobbies,Model Trains & Railway Sets,Kato (USA) 176-1308 F3B Denver & Rio Grande Western,£273.60,Kato (USA),878048c41f3c249badb3704e160b4c6e
Hobbies,Model Trains & Railway Sets,Bachmann 37-662 14 Ton Tank Wagon Pease & Partners Red,£9.60,Bachmann,f910c6542ededa5abf81787c0fd87c99
Hobbies,Model Trains & Railway Sets,Hornby 00 Gauge 253mm Weathered Paviland Grange Steam Locomotive Train Model,£119.50,Hornby,03a35de3f7af9814978e6de645cb8ffa
Hobbies,Model Trains & Railway Sets,Kato 3060-2 EF65 500 (F Model) Electric Locomotive,,Kato,c68c3ae3b0ea3146beae99f3d4a6997c
Hobbies,Model Trains & Railway Sets,Glacier Express of N gauge 10-1219 Alps [UNESCO paint color] 7 Car Set,,Kato,d27964f50577db8e46f2069b050c62c6
Hobbies,Model Trains & Railway Sets,Power Trains Freight Industrial (Pack of 4),,Power Trains,c3b2f6ec9cf6250c960c26ee8ad33509
Hobbies,Model Trains & Railway Sets,Chuggington Interactive Wash and Fuel Set with Brewster Train Toy,,Chuggington,e9ef14a0253f074343b5441540d8471f
Hobbies,Model Trains & Railway Sets,Kumoyuni 74-0 Shonan Color (Model Train),£17.08,Kato,0ca63377ca8015e585efa1d418f04756
Hobbies,Model Trains & Railway Sets,Bachmann 31-588 Freightliner Class 70 005 Powerhaul Diesel Weathered,£96.05,Bachmann,42d20aa25e5902eff9f5d307bb38230e
Hobbies,Model Trains & Railway Sets,Preiser 30495 Horse Drawn Wedding Coach (Closed),£27.55,Preiser,4aaa27925929708a6b56fd7e46b35208
Hobbies,Model Trains & Railway Sets,Preiser 30414 Horse Drawn Liquid Manure Wagon,£24.50,Preiser,81b3ad5c07a31fa67e4dc8643afa3275
Hobbies,Model Trains & Railway Sets,Bachmann Class A2 60534 'Irish Elegance' BR Lined Green Early Emblem,£149.92,Bachmann,26de90be8191b92ea208c2111c7090cd
Hobbies,Model Trains & Railway Sets,Plarail - S-29 Steam Locomotive Type C61-20 w/Head Light (Model Train),£12.87,Takara Tomy,4eb5ea748ea030b14c3d1789f9578133
Hobbies,Model Trains & Railway Sets,Roco 64723 OBB Railjet Economy Coach V,£49.95,Roco,1b3d6d9f9c79db8c54c0c2cbb50de1cf
