category,subcategory,name,price,manufacturer
Hobbies,Model Trains & Railway Sets,testing robustness Hornby 2014 Catalogue,3.42,Hornby
Hobbies,Model Trains & Railway Sets,testing robustness FunkyBuys® Large Christmas Holiday Express Festive Train Set (SI-TY1017) Toy Light / Sounds / Battery Operated & Smoke,16.99,FunkyBuys
Hobbies,Model Trains & Railway Sets,testing robustness CLASSIC TOY TRAIN SET TRACK CARRIAGES LIGHT ENGINE BOXED BOYS KIDS BATTERY,9.99,ccf
Hobbies,Model Trains & Railway Sets,testing robustness HORNBY Coach R4410A BR Hawksworth Corridor 3rd,39.99,Hornby
Hobbies,Model Trains & Railway Sets,testing robustness Hornby 00 Gauge 0-4-0 Gildenlow Salt Co. Steam Locomotive Model,32.19,Hornby
Hobbies,Model Trains & Railway Sets,testing robustness 20pcs Model Garden Light Double Heads Lamppost Scale 1:100,6.99,Generic
Hobbies,Model Trains & Railway Sets,testing robustness Hornby 00 Gauge 230mm BR Bogie Passenger Brake Coach Model (Red),24.99,Hornby
Hobbies,Model Trains & Railway Sets,testing robustness Hornby Santa's Express Train Set,69.93,Hornby
Hobbies,Model Trains & Railway Sets,testing robustness Hornby Gauge Western Express Digital Train Set with eLink and TTS Loco Train Set,235.58,Hornby
Hobbies,Model Trains & Railway Sets,testing robustness Learning Curve Chuggington Interactive Chatsworth,,Chuggington
Hobbies,Model Trains & Railway Sets,testing robustness Hornby Gauge Railroad Mosley Tarmacadam Locomotive,27.49,Hornby
Hobbies,Model Trains & Railway Sets,testing robustness Kato (USA) 176-1308 F3B Denver & Rio Grande Western,273.6,Kato (USA)
Hobbies,Model Trains & Railway Sets,testing robustness Bachmann 37-662 14 Ton Tank Wagon Pease & Partners Red,9.6,Bachmann
Hobbies,Model Trains & Railway Sets,testing robustness Hornby 00 Gauge 253mm Weathered Paviland Grange Steam Locomotive Train Model,119.5,Hornby
Hobbies,Model Trains & Railway Sets,testing robustness Kato 3060-2 EF65 500 (F Model) Electric Locomotive,,Kato
Hobbies,Model Trains & Railway Sets,testing robustness Glacier Express of N gauge 10-1219 Alps [UNESCO paint color] 7 Car Set,,Kato
Hobbies,Model Trains & Railway Sets,testing robustness Power Trains Freight Industrial (Pack of 4),,Power Trains
Hobbies,Model Trains & Railway Sets,testing robustness Chuggington Interactive Wash and Fuel Set with Brewster Train Toy,,Chuggington
Hobbies,Model Trains & Railway Sets,testing robustness Kumoyuni 74-0 Shonan Color (Model Train),17.08,Kato
Hobbies,Model Trains & Railway Sets,testing robustness Bachmann 31-588 Freightliner Class 70 005 Powerhaul Diesel Weathered,96.05,Bachmann
Hobbies,Model Trains & Railway Sets,testing robustness Preiser 30495 Horse Drawn Wedding Coach (Closed),27.55,Preiser
Hobbies,Model Trains & Railway Sets,testing robustness Preiser 30414 Horse Drawn Liquid Manure Wagon,24.5,Preiser
Hobbies,Model Trains & Railway Sets,testing robustness Bachmann Class A2 60534 'Irish Elegance' BR Lined Green Early Emblem,149.92,Bachmann
